,Star Name,Distance,Mass,Radius,Gravity
0,Sun,0.000016,1.0,1.0,274.2691614595739
1,Sirius,8.6,2.1,1.71,196.971799550325
2,Alpha Centauri,4.4,1.1,1.2,209.51116500384123
3,Altair,17.0,1.8,1.8,152.37175636642996
4,Fomalhaut,25.0,1.9,1.8,160.8368539423427
5,Tau Ceti,11.9,0.7829999999999999,0.893,269.2996711047934
6,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
7,Titawin,44.25,1.27,1.48,159.02202111653529
8,54 Piscium,36.1,0.76,0.94,235.9037604224493
9,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.2787267524544
10,WISEP J004701.06+680352.1Â [fr],40.0,0.011455056000000002,0.1335919,176.04104671648304
11,2MASS J03264225-2102057Â [de],80.0,0.017182584,0.1335919,264.0615700747245
12,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.5781383444831
13,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,172.14803783504922
14,2MASS J05012406-0010452Â [de],64.0,0.020046348,0.14181293999999994,273.3886765721482
15,DENIS-P J142527.97-365023.4Â [de],38.0,0.020046348,0.13564716,298.80704526170723
16,2MASSW J2244316+204343,56.0,0.011455056000000002,0.13256426999999998,178.78094402431134
